"order_id","user_id","product_id","total_amount","product_name","product_class","ds","ts","comment"
"30674af95bd34f5f99a840e002f9075c","dcbb8868-20e8-4b2f-a1a4-9fb695c1f660","10119642687372","1680","lululemon丨Clippable Nano 可悬挂收纳包 *拉绒 LU9C85S 草莓奶昔/银色 O/S","Clippable Nano","2025-10-26 01:18:40","1761412720610","好评：这款收纳包设计巧妙，携带方便，容量适中，质量不错。"
"1980306b7cc24179ba2e69a1d9afd988","a3d27769-4953-4b92-a3e2-01892f647446","10163360022026","980","lululemon丨Daydrift™ 女士高腰收腿长裤 LW5HUCA 浅象牙白 M","Daydrift™","2025-10-26 01:32:13","1761413533099","穿着舒适，版型很好，值得购买。"
"b69c1109f02848d7b121a31621c87fc8","54ef4698-3b2b-4128-ba58-47f5aa4071d6","10137114652308","5600","lululemon丨 Align™ 女士运动罗纹吊带裙 LW1FB4S 太阳灰 线上专售 S /6","Align™","2025-10-26 03:58:46","1761422326817","好评：穿着舒适，弹性好，运动时很自在。"
"5fa301aa8f794ee782d9a4bdb6ebe0dc","7805110a-c3c3-401a-8e5f-1d32a2f4ad44","10153913858349","1740","lululemon丨Align™ 女士两穿抹胸运动背心 LW1FGIS 紫灰 S /6","Align™","2025-10-26 06:00:47","1761429647283","好评：穿着舒适，透气性好，运动时无束缚感。"
"4adfb07381bb4d448511cc79cbbc3ccb","3a3b8ad7-b86e-45de-bbc6-9878930b128b","10106875432312
","2340","lululemon丨High-Rise 女士风琴褶高腰网球裙 LW8ALXS 白色 XXS /2","High-Rise","2025-10-26 07:14:09","1761434049517","差评：膝盖位置容易透皮，质量一般。"
"c6cd128f53f442f8b1970241da48f01b","d0d0c539-2307-493c-a7ea-92258d845f9f","10146450567209","6000","lululemon丨Sojourn 男士夹克 芯吸 LM3CZOS 太阳灰 L","Sojourn","2025-10-26 07:40:07","1761435607515","好评：穿上很舒适，太阳灰颜色也很时尚！"
"f4382dc617a14476892133cccfb06aad","4183985d-5991-4257-be78-a7a0672cf5ef","10176896903499","480","lululemon丨Dual-Pouch 斜挎包 LU9C16S 暖褐灰/浅象牙白 O/S","Dual-Pouch","2025-10-26 07:41:13","1761435673709","差评：质量太差，用了几次就坏了。"
"faceeda809d245db8cf66c557384673e","e2e59d28-96c9-4ec1-847c-4630eb28f789","10162891417963","1280","lululemon丨Like a Cloud 女士细肩带运动内衣 A/B 速干 LW2DUDS 淀粉蓝 L /10","Like a","2025-10-26 08:08:21","1761437301078","好评：穿着舒适，运动时毫无负担，颜色也很好看！"
"3274eb012ec741b9be490ebf7c2de21d","484c9f2f-c7ff-48f9-a1d4-382bed43b24b","10135721469998","1360","lululemon丨On My Level 女士小款手袋 LW9FNDS 黑/金 O/S","On My","2025-10-26 09:05:28","1761440728771","这款手袋设计时尚，容量适中，非常实用。"
"3f6f12cb47c64e7c8107f57ee5edc8dc","714e3718-9dc3-4337-976a-2bfadb14d95c","10162878192196","420","lululemon丨All Yours 女士棉混纺短款 T 恤 LW3IP2S 淀粉蓝 XS","All Yours","2025-10-26 09:13:10","1761441190733","好评：质量很好，穿着舒适，颜色也很鲜艳！"
"661014aff1fe4e9cb88b235238fd8aca","f26a76dd-b0ac-452d-bd36-48e86f9802c9","10046746669896","550","lululemon丨Surge 男士运动短裤 6","Surge","2025-10-26 09:20:57","1761441657036","好评：这款短裤弹性十足，穿着舒适，运动时毫无束缚感。"
"9c59906e6af340ddad6c494efb37e33f","3b7bff50-e9b4-4a4a-9b32-3d3b421bf498","10119900815744","3600","lululemon丨Swiftly Tech 女士运动短款长袖 T 恤 2.0 LW3GH4S 石板灰/白 S /6","Swiftly Tech","2025-10-26 10:05:57","1761444357363","好评：这款运动T恤穿着舒适，透气性好，性价比高。"
"87597d6be51e4e55a6e304061c8fb9ad","57d00132-25fd-471e-9dd0-a11bb2a66455","10151683566676","4140","lululemon丨Water-Repellent Stretch 女士网球夹克 拒水 LW4BXKS 清凉蓝 XS /4","Water-Repellent Stretch","2025-10-26 10:23:06","1761445386459","好评：面料透气，款式时尚，穿上非常舒适！"
"9dcd6a453f2b4200a0bcad2cf7ef05b8","2d38140e-ce98-4210-8688-22d4df58f1fb","10120074154620","6900","lululemon丨Gym 运动健身包 LU9BRKS 黑/星际灰 O/S","Gym","2025-10-26 10:23:31","1761445411881","好评：设计时尚，容量足够，背起来也很舒服！"
"389f64f419f242aa966747c901386c81","484c9f2f-c7ff-48f9-a1d4-382bed43b24b","10137925562350","6480","lululemon丨Dance Studio 女士宽松剪裁中腰工装裤 拒水 LW5GOEA 黑色 M","Dance Studio","2025-10-26 11:01:42","1761447702313","好评：版型宽松舒适，防水效果很好，推荐！"
